Code,Name,Sector,MarketCap,Close,Volume,Volume Spike,Momentum,RSI
373220,LG에너지솔루션,Unknown,115830000000000,495000.0,599572.0,1.32,62500.0,80.29
329180,HD현대중공업,Unknown,55394424384000,624000.0,339283.0,1.63,112000.0,79.46
207940,삼성바이오로직스,Unknown,85978192000000,1208000.0,109054.0,1.15,73000.0,89.81
012450,한화에어로스페이스,Unknown,53574373639000,1039000.0,222207.0,0.99,86000.0,42.2
005930,삼성전자,Unknown,603803068044000,102000.0,22097588.0,0.94,3900.0,81.1
000270,기아,Unknown,45207008196000,114800.0,916818.0,0.91,300.0,75.09
005380,현대차,Unknown,52110851447000,254500.0,763121.0,0.92,6500.0,81.1
034020,두산에너빌리티,Unknown,52461957857400,81900.0,4964095.0,0.61,1600.0,75.4
000660,SK하이닉스,Unknown,389481265275000,535000.0,3372136.0,0.87,49500.0,89.14
005935,삼성전자우,Unknown,65114778187200,79800.0,3716537.0,1.1,3800.0,81.31
402340,SK스퀘어,Unknown,38635660107000,291500.0,611042.0,1.02,29500.0,82.61
267260,HD현대일렉트릭,Unknown,29558650700000,820000.0,237450.0,1.48,139000.0,87.66
042660,한화오션,Unknown,42805951141800,139700.0,4496003.0,1.76,26000.0,79.28
009540,HD한국조선해양,Unknown,33475683868000,473000.0,383737.0,1.66,49500.0,72.79
068270,셀트리온,Unknown,41199545073600,178400.0,778941.0,1.14,1300.0,58.17
032830,삼성생명,Unknown,32400000000000,162000.0,231899.0,0.85,2300.0,57.11
035420,NAVER,Unknown,39370012138000,251000.0,1317125.0,0.56,-7000.0,38.41
028260,삼성물산,Unknown,36629945232000,215500.0,381502.0,1.09,7500.0,70.52
055550,신한지주,Unknown,36169372583000,74500.0,860452.0,0.69,100.0,63.12
105560,KB금융,Unknown,45012528154000,118000.0,1030435.0,1.16,-200.0,54.61
051910,LG화학,Unknown,28519306572000,404000.0,447924.0,0.99,56500.0,93.45
006400,삼성SDI,Unknown,22966876050000,285000.0,1695824.0,2.26,24500.0,86.36
096770,SK이노베이션,Unknown,22196631064400,131300.0,667370.0,1.32,12100.0,83.19
010140,삼성중공업,Unknown,25608000000000,29100.0,26228067.0,4.1,6500.0,85.64
064350,현대로템,Unknown,25539296562000,234000.0,605323.0,0.81,23000.0,57.35
015760,한국전력,Unknown,27604455311000,43000.0,2455511.0,0.82,800.0,76.23
012330,현대모비스,Unknown,27997503670000,305000.0,166002.0,0.92,-3500.0,56.07
035720,카카오,Unknown,26937174604200,60900.0,2592815.0,0.94,2100.0,53.85
086790,하나금융지주,Unknown,24437006469200,87800.0,1101469.0,1.5,-600.0,52.05
005490,POSCO홀딩스,Unknown,25898544640000,320000.0,644501.0,1.75,25500.0,77.16
