Code,Name,Sector,MarketCap,Close,Volume,Volume Spike,Momentum,RSI,Tier
373220,LG에너지솔루션,Unknown,99567000000000,425500.0,242702.0,0.62,-37500.0,27.48,Large Cap
329180,HD현대중공업,Unknown,49269079380000,555000.0,159269.0,0.53,-31000.0,39.26,Large Cap
207940,삼성바이오로직스,Unknown,86903454000000,1221000.0,0.0,0.0,0.0,,Large Cap
000660,SK하이닉스,Unknown,379289232165000,521000.0,6624988.0,1.33,-39000.0,34.29,Large Cap
034020,두산에너빌리티,Unknown,46825019772600,73100.0,3710469.0,0.56,-5300.0,27.84,Large Cap
005935,삼성전자우,Unknown,58994968207200,72300.0,2510887.0,0.67,-2400.0,28.61,Large Cap
105560,KB금융,Unknown,45966183411500,120500.0,714841.0,0.6,-9000.0,53.6,Large Cap
000270,기아,Unknown,44891976780000,114000.0,680023.0,0.64,-3000.0,42.51,Large Cap
005380,현대차,Unknown,53134640277000,259500.0,538414.0,0.53,-13000.0,25.38,Large Cap
005930,삼성전자,Unknown,561181675005600,94800.0,22970800.0,0.87,-2400.0,30.82,Large Cap
402340,SK스퀘어,Unknown,35255868228000,266000.0,584899.0,0.88,-25000.0,45.69,Large Cap
015760,한국전력,Unknown,30910570307550,48150.0,4949089.0,0.78,750.0,56.39,Large Cap
035420,NAVER,Unknown,41173817475000,262500.0,1278706.0,0.87,9000.0,42.21,Large Cap
028260,삼성물산,Unknown,36714933504000,216000.0,408920.0,1.16,-3500.0,42.11,Large Cap
009540,HD한국조선해양,Unknown,29724708720000,420000.0,154263.0,0.54,-12000.0,31.35,Large Cap
055550,신한지주,Unknown,37383109918000,77000.0,913178.0,0.69,-2600.0,57.14,Large Cap
042660,한화오션,Unknown,36708324601200,119800.0,877135.0,0.32,-9300.0,30.13,Large Cap
068270,셀트리온,Unknown,43282085590600,187400.0,634946.0,0.64,-8700.0,63.97,Large Cap
012450,한화에어로스페이스,Unknown,44808595469000,869000.0,244179.0,1.26,-86000.0,27.88,Large Cap
032830,삼성생명,Unknown,29280000000000,146400.0,135170.0,0.35,-7200.0,44.36,Large Cap
267260,HD현대일렉트릭,Unknown,27071398385000,751000.0,221598.0,0.96,-73000.0,26.87,Large Cap
010140,삼성중공업,Unknown,22308000000000,25350.0,2758376.0,0.35,-950.0,28.05,Large Cap
086790,하나금융지주,Unknown,25327649074000,91000.0,530067.0,0.48,-3400.0,59.0,Large Cap
035720,카카오,Unknown,25967950074600,58700.0,2506836.0,0.51,-2700.0,32.74,Large Cap
010130,고려아연,Unknown,21819200664000,1128000.0,20960.0,0.57,-7000.0,59.26,Large Cap
005490,POSCO홀딩스,Unknown,25129681596000,310500.0,283020.0,0.71,-3500.0,49.26,Large Cap
006400,삼성SDI,Unknown,23248925405000,288500.0,345160.0,0.34,-26500.0,35.47,Large Cap
000810,삼성화재,Unknown,21625242850000,470000.0,75340.0,0.82,-24500.0,57.7,Large Cap
012330,현대모비스,Unknown,26856844568000,296000.0,135555.0,0.66,-2000.0,46.85,Large Cap
051910,LG화학,Unknown,25907389881000,367000.0,315503.0,0.84,-40500.0,39.43,Large Cap
064350,현대로템,Unknown,19951211160400,182800.0,379598.0,0.54,-13900.0,15.45,Large Cap
316140,우리금융지주,Unknown,19049280504000,25950.0,1305510.0,0.57,-850.0,53.78,Large Cap
298040,효성중공업,Unknown,17809886680000,1910000.0,66999.0,0.97,-215000.0,26.09,Large Cap
003670,포스코퓨처엠,Unknown,17122147350000,192500.0,257378.0,0.52,-17000.0,28.3,Large Cap
034730,SK,Unknown,18053173047000,249000.0,194277.0,0.72,-9000.0,48.47,Large Cap
009150,삼성전기,Unknown,16245878880000,217500.0,689878.0,1.09,4500.0,32.89,Large Cap
033780,KT&G,Unknown,17177399512000,145600.0,434334.0,1.45,2900.0,69.64,Large Cap
011200,HMM,Unknown,18063007125500,19150.0,811115.0,0.62,-270.0,35.9,Large Cap
138040,메리츠금융지주,Unknown,19239350675400,109800.0,202883.0,0.65,-12100.0,50.57,Large Cap
096770,SK이노베이션,Unknown,19187491438000,113500.0,193498.0,0.47,-9200.0,31.94,Large Cap
024110,기업은행,Unknown,16147873847250,20250.0,805178.0,0.65,-400.0,65.57,Large Cap
267250,HD현대,Unknown,16075092797500,203500.0,152161.0,0.62,-11500.0,43.17,Large Cap
352820,하이브,Unknown,12427553288000,292000.0,175029.0,0.43,-5500.0,25.84,Large Cap
018260,삼성에스디에스,Unknown,13076848200000,169000.0,148050.0,0.52,1400.0,38.71,Large Cap
006800,미래에셋증권,Unknown,12062192029200,21150.0,2926990.0,0.58,-2250.0,23.21,Large Cap
066570,LG전자,Unknown,14073383836800,86400.0,311895.0,0.38,-3800.0,45.3,Large Cap
030200,KT,Unknown,12575882081500,49900.0,316617.0,0.86,-200.0,54.32,Large Cap
010120,LS ELECTRIC,Unknown,13230000000000,441000.0,468238.0,1.46,-12000.0,42.1,Large Cap
003550,LG,Unknown,12229771690500,79300.0,232718.0,0.62,-3600.0,44.52,Large Cap
000150,두산,Unknown,14127878925000,855000.0,148352.0,1.01,-51000.0,37.48,Large Cap
086280,현대글로비스,Unknown,12022500000000,160300.0,85163.0,0.41,-6300.0,31.86,Large Cap
259960,크래프톤,Unknown,11990645568000,253000.0,82958.0,0.79,-17000.0,31.72,Large Cap
017670,SK텔레콤,Unknown,11469788830200,53400.0,801872.0,0.88,-500.0,64.44,Large Cap
042700,한미반도체,Unknown,11446995220000,120100.0,978599.0,0.63,-5500.0,29.76,Large Cap
323410,카카오뱅크,Unknown,10136046786250,21250.0,652306.0,0.69,-750.0,33.67,Large Cap
326030,SK바이오팜,Unknown,9906626125000,126500.0,184739.0,0.49,-1800.0,64.66,Large Cap
272210,한화시스템,Unknown,9181482305400,48600.0,789444.0,0.43,-4500.0,16.25,Large Cap
003230,삼양식품,Unknown,10395560700000,1380000.0,54428.0,0.82,60000.0,52.69,Large Cap
000100,유한양행,Unknown,9332316597900,116700.0,286210.0,0.5,-8300.0,48.17,Large Cap
010950,S-Oil,Unknown,10098676442400,89700.0,393965.0,0.87,4000.0,74.58,Large Cap
047050,포스코인터내셔널,Unknown,9288723206400,52800.0,320514.0,0.69,-100.0,40.6,Large Cap
047810,한국항공우주,Unknown,10390846406200,106600.0,543705.0,0.76,3500.0,46.78,Large Cap
443060,HD현대마린솔루션,Unknown,9145158840000,204000.0,79678.0,0.63,-10000.0,27.27,Large Cap
278470,에이피알,Unknown,8908495890000,238000.0,430563.0,0.64,18500.0,33.49,Large Cap
007660,이수페타시스,Unknown,8963265639900,122100.0,1870422.0,0.95,11000.0,53.33,Large Cap
005830,DB손해보험,Unknown,8446440000000,119300.0,142987.0,0.68,-13100.0,42.89,Large Cap
079550,LIG넥스원,Unknown,8844000000000,402000.0,106470.0,0.55,-6000.0,23.59,Large Cap
010620,HD현대미포,Unknown,8907099227000,223000.0,159583.0,0.37,-7500.0,41.75,Large Cap
161390,한국타이어앤테크놀로지,Unknown,7172366495100,57900.0,188399.0,0.38,-1600.0,79.9,Large Cap
005940,NH투자증권,Unknown,7322876782950,20550.0,538412.0,0.51,-850.0,47.57,Large Cap
071050,한국금융지주,Unknown,8531649375200,153100.0,221292.0,0.61,-16600.0,29.11,Large Cap
003490,대한항공,Unknown,7879922145400,21400.0,409354.0,0.33,-500.0,37.88,Large Cap
090430,아모레퍼시픽,Unknown,7861426809600,134400.0,376946.0,1.04,7000.0,71.78,Large Cap
039490,키움증권,Unknown,6937924798000,262000.0,137148.0,0.89,-26000.0,37.57,Large Cap
016360,삼성증권,Unknown,6885030000000,77100.0,304402.0,0.64,-3300.0,48.94,Large Cap
377300,카카오페이,Unknown,6648874322400,49200.0,292590.0,0.57,-2800.0,37.0,Large Cap
005387,현대차2우B,Unknown,6880901424000,196800.0,126200.0,0.7,-6700.0,29.26,Large Cap
032640,LG유플러스,Unknown,6705322338000,15600.0,840011.0,0.81,40.0,62.38,Large Cap
029780,삼성카드,Unknown,6210036557600,53600.0,72781.0,0.95,700.0,75.0,Large Cap
000720,현대건설,Unknown,6603396864500,59300.0,888943.0,0.51,-3500.0,32.61,Large Cap
180640,한진칼,Unknown,6569408253600,98400.0,63873.0,0.57,-800.0,42.11,Large Cap
034220,LG디스플레이,Unknown,6075000000000,12150.0,1631832.0,0.6,-1040.0,21.31,Large Cap
021240,코웨이,Unknown,6342385530600,88200.0,162103.0,0.78,-2600.0,45.69,Large Cap
000880,한화,Unknown,5981707053000,79800.0,263101.0,0.71,-9100.0,30.09,Large Cap
064400,LG씨엔에스,Unknown,5532187630800,57100.0,566185.0,0.33,400.0,27.05,Large Cap
006260,LS,Unknown,5775740000000,182200.0,169928.0,0.6,-10900.0,35.54,Large Cap
128940,한미약품,Unknown,5707296490500,445500.0,73436.0,0.29,-27500.0,57.1,Large Cap
078930,GS,Unknown,5519173453200,59400.0,224386.0,0.63,1100.0,72.97,Large Cap
307950,현대오토에버,Unknown,5103603050200,186100.0,71076.0,0.29,5100.0,27.82,Large Cap
088980,맥쿼리인프라,Unknown,5517181359360,11520.0,1431312.0,0.95,180.0,81.18,Large Cap
241560,두산밥캣,Unknown,5204984329500,54300.0,218966.0,0.76,-2900.0,21.21,Large Cap
011070,LG이노텍,Unknown,5467101717000,231000.0,134410.0,0.65,-11500.0,45.59,Large Cap
001040,CJ,Unknown,5415250828800,185600.0,264005.0,1.49,22400.0,57.37,Large Cap
454910,두산로보틱스,Unknown,4602218580000,71000.0,147992.0,0.21,-6700.0,18.69,Large Cap
028050,삼성E&A,Unknown,4949000000000,25250.0,498726.0,0.65,-800.0,37.86,Large Cap
138930,BNK금융지주,Unknown,4691223297680,14920.0,606741.0,0.56,-480.0,59.49,Large Cap
066970,엘앤에프,Unknown,4730782073600,119900.0,333903.0,0.39,-13600.0,47.01,Large Cap
009830,한화솔루션,Unknown,4589530711200,26700.0,414897.0,0.21,-1550.0,29.62,Large Cap
251270,넷마블,Unknown,4460986753800,51900.0,122372.0,0.63,-3300.0,38.37,Large Cap
005385,현대차우,Unknown,4532814432000,194200.0,109630.0,0.79,-6300.0,27.18,Large Cap
175330,JB금융지주,Unknown,4395828513150,23150.0,267701.0,0.65,-1500.0,53.7,Large Cap
001440,대한전선,Unknown,4195064250000,22500.0,3562994.0,0.43,-2450.0,40.15,Large Cap
051900,LG생활건강,Unknown,4514225405000,295000.0,46143.0,0.66,1000.0,56.8,Large Cap
271560,오리온,Unknown,4143386633600,104800.0,189527.0,1.32,-600.0,71.93,Large Cap
062040,산일전기,Unknown,4027899960000,132300.0,294896.0,0.42,-11600.0,20.74,Large Cap
302440,SK바이오사이언스,Unknown,4106543198000,52400.0,125546.0,0.44,-2200.0,53.57,Large Cap
450080,에코프로머티,Unknown,3902229259200,55800.0,257306.0,0.55,-7100.0,32.57,Large Cap
036570,엔씨소프트,Unknown,4121371408600,191300.0,524059.0,2.4,-40200.0,32.85,Large Cap
011790,SKC,Unknown,4010252758200,105900.0,207229.0,0.38,-9600.0,28.4,Large Cap
111770,영원무역,Unknown,3903840330800,88100.0,140352.0,1.55,18900.0,95.8,Large Cap
004020,현대제철,Unknown,3996701260750,29950.0,303053.0,0.65,-2200.0,34.97,Large Cap
035250,강원랜드,Unknown,3791025660000,17720.0,719469.0,1.31,430.0,68.44,Large Cap
036460,한국가스공사,Unknown,3715598250000,40250.0,135388.0,0.51,-1050.0,39.11,Large Cap
031210,서울보증보험,Unknown,3445695861300,49350.0,36877.0,0.59,-3650.0,48.77,Large Cap
022100,포스코DX,Unknown,3709647387600,24400.0,331056.0,0.3,-1550.0,26.01,Large Cap
002380,KCC,Unknown,3559031635500,400500.0,19739.0,0.69,-6500.0,40.34,Large Cap
082740,한화엔진,Unknown,3479745821400,41700.0,708457.0,0.46,300.0,21.89,Large Cap
052690,한전기술,Unknown,3397758000000,88900.0,115101.0,0.39,-3100.0,29.39,Large Cap
011170,롯데케미칼,Unknown,3336482682000,78000.0,60861.0,0.3,-7200.0,58.76,Large Cap
004990,롯데지주,Unknown,3178749881100,30300.0,231428.0,0.64,-1350.0,53.66,Large Cap
097950,CJ제일제당,Unknown,3281812548000,218000.0,54028.0,0.91,-8500.0,37.5,Large Cap
017800,현대엘리베이터,Unknown,3092207653500,79100.0,259787.0,0.59,-2700.0,59.19,Large Cap
011780,금호석유화학,Unknown,3006666201000,115500.0,44542.0,0.48,-6400.0,49.45,Large Cap
383220,F&F,Unknown,2918999115000,76200.0,119913.0,0.97,1000.0,79.0,Large Cap
012510,더존비즈온,Unknown,2849905139200,93800.0,131857.0,0.39,2200.0,57.03,Large Cap
