Code,Name,Sector,MarketCap,Close,Volume,Volume Spike,Momentum,RSI,Tier
063160,종근당바이오,Unknown,119593971600,21800.0,22553.0,1.19,50.0,27.27,Small Cap
004310,현대약품,Unknown,119360000000,3730.0,188924.0,1.61,-85.0,39.23,Small Cap
025620,제이준코스메틱,Unknown,118119435000,13930.0,104245.0,0.17,220.0,49.76,Small Cap
085310,엔케이,Unknown,118872645254,1507.0,3521840.0,0.52,-54.0,62.1,Small Cap
014530,극동유화,Unknown,117161251200,3360.0,114479.0,0.95,40.0,58.7,Small Cap
33626K,두산퓨얼셀1우,Unknown,116268540000,8700.0,710385.0,3.85,1530.0,72.62,Small Cap
005870,휴니드,Unknown,116315963600,8240.0,57838.0,0.45,-300.0,46.47,Small Cap
014160,대영포장,Unknown,116198956528,1072.0,623869.0,1.4,-46.0,24.65,Small Cap
002200,한국수출포장,Unknown,115600000000,2890.0,49291.0,0.77,0.0,31.25,Small Cap
034590,인천도시가스,Unknown,115274767900,26350.0,512.0,0.25,-100.0,66.67,Small Cap
017900,광전자,Unknown,114728650740,1980.0,64657.0,1.21,4.0,64.71,Small Cap
023450,동남합성,Unknown,113750000000,32500.0,1478.0,0.91,650.0,35.16,Small Cap
011690,와이투솔루션,Unknown,112649133520,3080.0,161714.0,0.3,-40.0,43.63,Small Cap
264900,크라운제과,Unknown,112464173000,8980.0,22147.0,0.99,-130.0,41.1,Small Cap
013570,디와이,Unknown,112648029240,4280.0,36906.0,0.88,-75.0,49.48,Small Cap
013520,화승코퍼레이션,Unknown,112365060740,2245.0,171804.0,0.51,-140.0,57.06,Small Cap
006660,삼성공조,Unknown,112061870060,13790.0,49791.0,0.56,-380.0,47.09,Small Cap
000180,성창기업지주,Unknown,112021069600,1606.0,155103.0,2.08,-24.0,12.68,Small Cap
003060,에이프로젠바이오로직스,Unknown,110909985355,559.0,318877.0,0.73,-19.0,32.06,Small Cap
017550,수산세보틱스,Unknown,110883254010,1777.0,69093.0,0.74,-41.0,39.17,Small Cap
019180,티에이치엔,Unknown,110160000000,6120.0,204264.0,0.49,-490.0,58.55,Small Cap
021820,세원정공,Unknown,109800000000,10980.0,18577.0,1.21,40.0,42.68,Small Cap
002220,한일철강,Unknown,109593073300,4105.0,243489.0,1.38,85.0,63.98,Small Cap
011810,STX,Unknown,109493282310,3530.0,0.0,,0.0,,Small Cap
227840,현대코퍼레이션홀딩스,Unknown,109483057080,12030.0,7506.0,0.5,140.0,46.21,Small Cap
480370,씨케이솔루션,Unknown,104865316990,9590.0,62824.0,2.07,-340.0,43.55,Small Cap
008260,NI스틸,Unknown,108537444015,3795.0,282599.0,3.37,325.0,64.83,Small Cap
002450,삼익악기,Unknown,108093912510,1194.0,163221.0,0.94,-9.0,28.45,Small Cap
03473K,SK우,Unknown,105923858500,187100.0,6807.0,0.55,10400.0,62.14,Small Cap
003580,HLB글로벌,Unknown,105916396690,2105.0,221114.0,1.27,50.0,54.47,Small Cap
396690,미래에셋글로벌리츠,Unknown,105153770700,2655.0,93781.0,1.29,-10.0,28.57,Small Cap
005740,크라운해태홀딩스,Unknown,103634482060,6980.0,41192.0,1.14,-40.0,43.59,Small Cap
067830,세이브존I&C,Unknown,102397033025,2495.0,25845.0,1.32,-65.0,36.51,Small Cap
002460,HS화성,Unknown,102007500000,10050.0,29052.0,1.08,-10.0,47.92,Small Cap
002780,진흥기업,Unknown,101684749755,699.0,419493.0,1.35,-3.0,3.45,Small Cap
096775,SK이노베이션우,Unknown,100872820800,80800.0,9345.0,1.94,4300.0,82.02,Small Cap
016740,두올,Unknown,100502454120,3505.0,36872.0,0.48,-25.0,57.89,Small Cap
119650,KC코트렐,Unknown,100782913662,918.0,0.0,,0.0,,Small Cap
000230,일동홀딩스,Unknown,99824460000,8650.0,56939.0,0.1,250.0,24.62,Small Cap
006890,태경케미컬,Unknown,99296000000,8560.0,23163.0,0.93,-550.0,31.97,Small Cap
011150,CJ씨푸드,Unknown,98809625750,2750.0,123094.0,0.96,-15.0,41.67,Small Cap
45014K,코오롱모빌리티그룹우,Unknown,96893934000,39450.0,76896.0,0.16,-7550.0,44.56,Small Cap
008700,아남전자,Unknown,98334145500,1275.0,230580.0,1.31,-35.0,25.41,Small Cap
023800,인지컨트롤스,Unknown,96752285640,6120.0,37769.0,0.76,40.0,67.96,Small Cap
023000,삼원강재,Unknown,96800000000,2420.0,36894.0,0.64,20.0,50.0,Small Cap
010660,화천기계,Unknown,96580000000,4390.0,408922.0,1.37,-205.0,34.78,Small Cap
163560,동일고무벨트,Unknown,95493000000,6870.0,25344.0,0.15,10.0,69.23,Small Cap
004890,동일산업,Unknown,95795992500,39500.0,947.0,0.63,100.0,53.75,Small Cap
058860,KTis,Unknown,95183470000,2735.0,98682.0,1.05,-50.0,26.83,Small Cap
